Id,wavelength,reflectance,direct_transmittance,diffuse_transmittance
228,0.756,51.384,0.0,38.0327
229,0.758,51.668,0.0,38.2427
230,0.76,51.889,0.0,38.4068
231,0.762,52.067,0.0,38.5387
232,0.764,52.245,0.0,38.6706
233,0.766,52.398,0.0,38.7839
234,0.768,52.553,0.0,38.8982
235,0.77,52.763,0.0,39.0535
236,0.772,52.942,0.0,39.1863
237,0.774,53.032,0.0,39.2528
238,0.776,53.057,0.0,39.2713
239,0.778,53.057,0.0,39.2713
240,0.78,53.147,0.0,39.3377
241,0.782,53.303,0.0,39.453
242,0.784,53.478,0.0,39.5829
243,0.786,53.595,0.0,39.6699
244,0.788,53.699,0.0,39.7461
245,0.79,53.804,0.0,39.8242
246,0.792,53.809,0.0,39.8281
247,0.794,53.746,0.0,39.7812
248,0.796,53.702,0.0,39.749
249,0.798,53.784,0.0,39.8096
250,0.8,53.9,0.0,39.8955
251,0.82,54.503,0.0,40.3419
252,0.84,54.752,0.0,40.5256
253,0.86,55.146,0.0,40.8176
254,0.88,55.395,0.0,41.0013
255,0.9,55.386,0.0,40.9954
256,0.92,55.393,0.0,41.0003
257,0.94,54.772,0.0,40.5402
258,0.96,53.139,0.0,39.3319
259,0.98,53.188,0.0,39.368
260,1.0,53.858,0.0,39.8643
261,1.02,54.774,0.0,40.5422
262,1.04,55.742,0.0,41.2582
263,1.06,56.891,0.0,42.109
264,1.08,56.739,0.0,41.9967
265,1.1,56.472,0.0,41.7994
266,1.12,55.134,0.0,40.8088
267,1.14,51.409,0.0,38.0513
268,1.16,49.535,0.0,36.6642
269,1.18,48.935,0.0,36.2207
270,1.2,49.56,0.0,36.6827
271,1.22,50.101,0.0,37.0832
272,1.24,50.803,0.0,37.6029
273,1.26,51.046,0.0,37.7826
274,1.28,50.404,0.0,37.3079
275,1.3,48.714,0.0,36.0566
276,1.32,45.21,0.0,33.4631
277,1.34,41.746,0.0,30.8989
278,1.36,37.767,0.0,27.9538
279,1.38,28.164,0.0,20.8464
