Id,wavelength,reflectance,direct_transmittance,diffuse_transmittance
253,0.621,7.0403,0.0,8.3984
254,0.622,7.0031,0.0,8.2812
255,0.623,6.9735,0.0,8.1809
256,0.624,6.9489,0.0,8.0952
257,0.625,6.9263,0.0,8.0187
258,0.626,6.9097,0.0,7.9565
259,0.627,6.8967,0.0,7.9067
260,0.628,6.8836,0.0,7.8629
261,0.629,6.8745,0.0,7.8298
262,0.63,6.8715,0.0,7.8101
263,0.631,6.8711,0.0,7.7973
264,0.632,6.8672,0.0,7.779
265,0.633,6.8588,0.0,7.7524
266,0.634,6.8464,0.0,7.716
267,0.635,6.8292,0.0,7.6658
268,0.636,6.8083,0.0,7.6015
269,0.637,6.7813,0.0,7.5184
270,0.638,6.7466,0.0,7.4135
271,0.639,6.706,0.0,7.2876
272,0.64,6.6575,0.0,7.1382
273,0.641,6.6052,0.0,6.9733
274,0.642,6.5515,0.0,6.7966
275,0.643,6.4959,0.0,6.6093
276,0.644,6.4403,0.0,6.4161
277,0.645,6.382,0.0,6.2154
278,0.646,6.3212,0.0,6.0108
279,0.647,6.2632,0.0,5.812
280,0.648,6.2098,0.0,5.6239
281,0.649,6.1599,0.0,5.4474
282,0.65,6.1144,0.0,5.2858
283,0.651,6.0715,0.0,5.1377
284,0.652,6.0329,0.0,5.0053
285,0.653,6.003,0.0,4.8946
286,0.654,5.9771,0.0,4.7967
287,0.655,5.9571,0.0,4.7129
288,0.656,5.9428,0.0,4.6413
289,0.657,5.9279,0.0,4.5698
290,0.658,5.9129,0.0,4.4959
291,0.659,5.8972,0.0,4.4176
292,0.66,5.8778,0.0,4.3303
293,0.661,5.8573,0.0,4.2353
294,0.662,5.8337,0.0,4.1295
295,0.663,5.8068,0.0,4.0153
296,0.664,5.7777,0.0,3.8952
297,0.665,5.7462,0.0,3.7702
298,0.666,5.714,0.0,3.6443
299,0.667,5.6877,0.0,3.5277
300,0.668,5.6643,0.0,3.4164
301,0.669,5.6455,0.0,3.3141
302,0.67,5.6345,0.0,3.2274
303,0.671,5.6275,0.0,3.1496
304,0.672,5.6255,0.0,3.0805
305,0.673,5.63,0.0,3.0229
306,0.674,5.6376,0.0,2.9717
307,0.675,5.6492,0.0,2.9261
308,0.676,5.6695,0.0,2.8926
309,0.677,5.6951,0.0,2.8672
310,0.678,5.7247,0.0,2.8466
311,0.679,5.7589,0.0,2.8323
312,0.68,5.7984,0.0,2.8256
313,0.681,5.8461,0.0,2.8322
314,0.682,5.9005,0.0,2.852
315,0.683,5.9627,0.0,2.8891
316,0.684,6.0341,0.0,2.9523
317,0.685,6.1132,0.0,3.0445
318,0.686,6.1998,0.0,3.1694
319,0.687,6.2965,0.0,3.3422
320,0.688,6.4044,0.0,3.5739
321,0.689,6.5258,0.0,3.8738
322,0.69,6.6668,0.0,4.262
323,0.691,6.8278,0.0,4.7468
324,0.692,7.0131,0.0,5.3399
325,0.693,7.2284,0.0,6.0528
326,0.694,7.4798,0.0,6.8934
327,0.695,7.7721,0.0,7.8641
328,0.696,8.1066,0.0,8.9582
329,0.697,8.4882,0.0,10.171
330,0.698,8.918,0.0,11.4918
331,0.699,9.3982,0.0,12.9096
332,0.7,9.9252,0.0,14.4026
333,0.701,10.4948,0.0,15.9534
334,0.702,11.1019,0.0,17.5418
335,0.703,11.7399,0.0,19.1457
336,0.704,12.4036,0.0,20.754
337,0.705,13.0865,0.0,22.3528
338,0.706,13.7812,0.0,23.9283
339,0.707,14.4845,0.0,25.476
340,0.708,15.1948,0.0,26.994
341,0.709,15.9079,0.0,28.4785
342,0.71,16.6203,0.0,29.9263
343,0.711,17.3333,0.0,31.3406
344,0.712,18.0468,0.0,32.7263
345,0.713,18.7631,0.0,34.0886
346,0.714,19.4796,0.0,35.4237
347,0.715,20.1953,0.0,36.7332
348,0.716,20.91,0.0,38.0186
349,0.717,21.6225,0.0,39.2798
350,0.718,22.3318,0.0,40.5174
351,0.719,23.036,0.0,41.7292
352,0.72,23.7335,0.0,42.9137
353,0.721,24.4235,0.0,44.0714
354,0.722,25.1052,0.0,45.2016
355,0.723,25.7744,0.0,46.2993
356,0.724,26.429,0.0,47.361
357,0.725,27.0683,0.0,48.3877
358,0.726,27.6909,0.0,49.3793
359,0.727,28.2954,0.0,50.3319
360,0.728,28.8795,0.0,51.2432
361,0.729,29.4409,0.0,52.1126
362,0.73,29.9791,0.0,52.9398
363,0.731,30.4945,0.0,53.7254
364,0.732,30.9871,0.0,54.4711
365,0.733,31.4555,0.0,55.1743
366,0.734,31.8988,0.0,55.8357
367,0.735,32.3176,0.0,56.4571
368,0.736,32.7132,0.0,57.0395
369,0.737,33.0841,0.0,57.582
370,0.738,33.4309,0.0,58.0873
371,0.739,33.756,0.0,58.5589
372,0.74,34.0592,0.0,58.9962
373,0.741,34.3405,0.0,59.3986
374,0.742,34.5991,0.0,59.768
375,0.743,34.8358,0.0,60.107
376,0.744,35.0526,0.0,60.4171
377,0.745,35.2517,0.0,60.6991
378,0.746,35.4335,0.0,60.9553
379,0.747,35.5974,0.0,61.1853
380,0.748,35.7439,0.0,61.3911
381,0.749,35.8759,0.0,61.5748
382,0.75,35.9935,0.0,61.7378
383,0.751,36.0964,0.0,61.8813
384,0.752,36.1868,0.0,62.0072
385,0.753,36.2661,0.0,62.1164
386,0.754,36.3349,0.0,62.2101
387,0.755,36.3947,0.0,62.2906
388,0.756,36.4459,0.0,62.3601
389,0.757,36.4902,0.0,62.4198
390,0.758,36.5287,0.0,62.4699
391,0.759,36.563,0.0,62.5107
392,0.76,36.5927,0.0,62.5449
393,0.761,36.6181,0.0,62.5734
394,0.762,36.6392,0.0,62.5962
395,0.763,36.6565,0.0,62.6136
396,0.764,36.6689,0.0,62.6255
397,0.765,36.6767,0.0,62.6319
398,0.766,36.6818,0.0,62.6345
399,0.767,36.6841,0.0,62.6338
400,0.768,36.6834,0.0,62.6297
401,0.769,36.6816,0.0,62.6226
402,0.77,36.6781,0.0,62.6126
403,0.771,36.6716,0.0,62.5996
404,0.772,36.6659,0.0,62.5873
405,0.773,36.6607,0.0,62.5756
406,0.774,36.6553,0.0,62.5645
407,0.775,36.6503,0.0,62.5535
408,0.776,36.6457,0.0,62.5424
409,0.777,36.6414,0.0,62.5317
410,0.778,36.638,0.0,62.5224
411,0.779,36.6341,0.0,62.5126
412,0.78,36.6308,0.0,62.5037
413,0.781,36.6281,0.0,62.4951
414,0.782,36.6261,0.0,62.4868
415,0.783,36.6242,0.0,62.4781
416,0.784,36.6209,0.0,62.4686
417,0.785,36.6168,0.0,62.4589
418,0.786,36.6157,0.0,62.4529
419,0.787,36.6148,0.0,62.4484
420,0.788,36.6147,0.0,62.4444
421,0.789,36.6166,0.0,62.4416
422,0.79,36.6199,0.0,62.4408
423,0.791,36.6241,0.0,62.4425
424,0.792,36.6283,0.0,62.4447
425,0.793,36.6318,0.0,62.4477
426,0.794,36.6362,0.0,62.4523
427,0.795,36.6415,0.0,62.456
428,0.796,36.6476,0.0,62.4607
429,0.797,36.6532,0.0,62.4646
430,0.798,36.6585,0.0,62.4667
431,0.799,36.6634,0.0,62.4684
432,0.8,36.6687,0.0,62.4701
433,0.801,36.6745,0.0,62.4706
434,0.802,36.6789,0.0,62.4693
435,0.803,36.6849,0.0,62.4705
436,0.804,36.6924,0.0,62.4746
437,0.805,36.6997,0.0,62.4797
438,0.806,36.7061,0.0,62.4845
439,0.807,36.7126,0.0,62.4911
440,0.808,36.7195,0.0,62.498
441,0.809,36.7255,0.0,62.5022
442,0.81,36.7314,0.0,62.5073
443,0.811,36.7375,0.0,62.5121
444,0.812,36.744,0.0,62.5157
445,0.813,36.7498,0.0,62.5188
446,0.814,36.7556,0.0,62.5201
447,0.815,36.7614,0.0,62.5197
448,0.816,36.7674,0.0,62.5198
449,0.817,36.7762,0.0,62.5233
450,0.818,36.7858,0.0,62.5282
451,0.819,36.7964,0.0,62.5329
452,0.82,36.8058,0.0,62.5361
453,0.821,36.8142,0.0,62.5386
454,0.822,36.8226,0.0,62.542
455,0.823,36.8298,0.0,62.5452
456,0.824,36.8368,0.0,62.5482
457,0.825,36.8434,0.0,62.5494
458,0.826,36.8491,0.0,62.549
459,0.827,36.854,0.0,62.5488
460,0.828,36.859,0.0,62.5488
461,0.829,36.8651,0.0,62.5462
