Id,wavelength,reflectance,direct_transmittance,diffuse_transmittance
267,0.616,3.524,0.0,3.096
268,0.617,3.506,0.0,2.719
269,0.618,3.475,0.0,2.733
270,0.619,3.454,0.0,3.119
271,0.62,3.457,0.0,2.697
272,0.621,3.451,0.0,3.08
273,0.622,3.436,0.0,3.585
274,0.623,3.419,0.0,2.661
275,0.624,3.406,0.0,3.056
276,0.625,3.401,0.0,2.615
277,0.626,3.403,0.0,2.998
278,0.627,3.401,0.0,3.022
279,0.628,3.388,0.0,3.015
280,0.629,3.371,0.0,2.99
281,0.63,3.362,0.0,2.622
282,0.631,3.36,0.0,2.625
283,0.632,3.364,0.0,3.495
284,0.633,3.37,0.0,2.976
285,0.634,3.357,0.0,3.491
286,0.635,3.35,0.0,3.461
287,0.636,3.352,0.0,3.391
288,0.637,3.33,0.0,2.966
289,0.638,3.306,0.0,3.507
290,0.639,3.29,0.0,3.483
291,0.64,3.293,0.0,2.904
292,0.641,3.299,0.0,2.893
293,0.642,3.29,0.0,2.916
294,0.643,3.255,0.0,2.973
295,0.644,3.24,0.0,2.916
296,0.645,3.23,0.0,2.855
297,0.646,3.209,0.0,2.531
298,0.647,3.19,0.0,2.86
299,0.648,3.189,0.0,2.845
300,0.649,3.198,0.0,2.44
301,0.65,3.176,0.0,2.841
302,0.651,3.162,0.0,2.863
303,0.652,3.157,0.0,2.537
304,0.653,3.142,0.0,2.525
305,0.654,3.128,0.0,2.409
306,0.655,3.122,0.0,2.408
307,0.656,3.13,0.0,2.385
308,0.657,3.132,0.0,2.737
309,0.658,3.124,0.0,2.393
310,0.659,3.111,0.0,2.4
311,0.66,3.104,0.0,2.639
312,0.661,3.1,0.0,2.286
313,0.662,3.095,0.0,2.271
314,0.663,3.075,0.0,3.021
315,0.664,3.071,0.0,2.221
316,0.665,3.081,0.0,2.155
317,0.666,3.083,0.0,2.158
318,0.667,3.078,0.0,2.442
319,0.668,3.079,0.0,2.771
320,0.669,3.093,0.0,2.286
321,0.67,3.086,0.0,2.247
322,0.671,3.084,0.0,1.905
323,0.672,3.1,0.0,2.021
324,0.673,3.117,0.0,1.863
325,0.674,3.123,0.0,1.945
326,0.675,3.123,0.0,1.561
327,0.676,3.135,0.0,1.739
328,0.677,3.153,0.0,1.231
329,0.678,3.172,0.0,1.242
330,0.679,3.189,0.0,1.425
331,0.68,3.205,0.0,1.545
332,0.681,3.221,0.0,1.052
333,0.682,3.241,0.0,0.818
334,0.683,3.263,0.0,1.003
335,0.684,3.284,0.0,0.986
336,0.685,3.304,0.0,0.874
337,0.686,3.331,0.0,0.902
338,0.687,3.357,0.0,0.928
339,0.688,3.385,0.0,0.913
340,0.689,3.422,0.0,0.795
341,0.69,3.468,0.0,1.037
342,0.691,3.526,0.0,0.941
343,0.692,3.606,0.0,1.305
344,0.693,3.721,0.0,1.803
345,0.694,3.857,0.0,1.967
346,0.695,4.014,0.0,2.842
347,0.696,4.215,0.0,3.414
348,0.697,4.469,0.0,4.003
349,0.698,4.771,0.0,4.083
350,0.699,5.114,0.0,5.41
351,0.7,5.511,0.0,5.407
352,0.701,5.964,0.0,6.274
353,0.702,6.469,0.0,7.225
354,0.703,7.018,0.0,8.146
355,0.704,7.613,0.0,9.078
356,0.705,8.257,0.0,10.035
357,0.706,8.931,0.0,11.002
358,0.707,9.634,0.0,11.981
359,0.708,10.366,0.0,12.971
360,0.709,11.14,0.0,13.966
361,0.71,11.945,0.0,14.968
362,0.711,12.78,0.0,15.976
363,0.712,13.641,0.0,16.988
364,0.713,14.512,0.0,18.004
365,0.714,15.401,0.0,19.031
366,0.715,16.314,0.0,20.047
367,0.716,17.236,0.0,21.055
368,0.717,18.17,0.0,22.063
369,0.718,19.117,0.0,23.069
370,0.719,20.071,0.0,24.064
371,0.72,21.023,0.0,25.051
372,0.721,21.977,0.0,26.028
373,0.722,22.931,0.0,26.986
374,0.723,23.865,0.0,27.926
375,0.724,24.78,0.0,28.845
376,0.725,25.686,0.0,29.739
377,0.726,26.572,0.0,30.603
378,0.727,27.433,0.0,31.44
379,0.728,28.262,0.0,32.253
380,0.729,29.066,0.0,33.028
381,0.73,29.833,0.0,33.777
382,0.731,30.57,0.0,34.488
383,0.732,31.279,0.0,35.168
384,0.733,31.949,0.0,35.813
385,0.734,32.586,0.0,36.428
386,0.735,33.195,0.0,37.008
387,0.736,33.76,0.0,37.559
388,0.737,34.292,0.0,38.085
389,0.738,34.797,0.0,38.571
390,0.739,35.269,0.0,39.032
391,0.74,35.703,0.0,39.468
392,0.741,36.11,0.0,39.877
393,0.742,36.495,0.0,40.26
394,0.743,36.848,0.0,40.623
395,0.744,37.172,0.0,40.96
396,0.745,37.471,0.0,41.278
397,0.746,37.751,0.0,41.572
398,0.747,38.005,0.0,41.852
399,0.748,38.241,0.0,42.108
400,0.749,38.452,0.0,42.348
401,0.75,38.647,0.0,42.572
402,0.751,38.826,0.0,42.779
403,0.752,38.987,0.0,42.969
404,0.753,39.13,0.0,43.148
405,0.754,39.256,0.0,43.317
406,0.755,39.37,0.0,43.469
407,0.756,39.478,0.0,43.615
408,0.757,39.575,0.0,43.743
409,0.758,39.668,0.0,43.858
410,0.759,39.746,0.0,43.968
411,0.76,39.812,0.0,44.071
412,0.761,39.873,0.0,44.169
413,0.762,39.927,0.0,44.258
414,0.763,39.979,0.0,44.337
415,0.764,40.026,0.0,44.411
416,0.765,40.066,0.0,44.484
417,0.766,40.102,0.0,44.553
418,0.767,40.134,0.0,44.616
419,0.768,40.162,0.0,44.672
420,0.769,40.185,0.0,44.73
421,0.77,40.201,0.0,44.784
422,0.771,40.221,0.0,44.836
423,0.772,40.245,0.0,44.877
424,0.773,40.263,0.0,44.92
425,0.774,40.279,0.0,44.962
426,0.775,40.291,0.0,45.001
427,0.776,40.302,0.0,45.035
428,0.777,40.311,0.0,45.069
429,0.778,40.321,0.0,45.104
430,0.779,40.336,0.0,45.136
431,0.78,40.341,0.0,45.167
432,0.781,40.347,0.0,45.196
433,0.782,40.356,0.0,45.226
434,0.783,40.363,0.0,45.25
435,0.784,40.374,0.0,45.275
436,0.785,40.38,0.0,45.302
437,0.786,40.387,0.0,45.326
438,0.787,40.389,0.0,45.353
439,0.788,40.392,0.0,45.376
440,0.789,40.401,0.0,45.397
441,0.79,40.406,0.0,45.418
442,0.791,40.414,0.0,45.439
443,0.792,40.418,0.0,45.463
444,0.793,40.423,0.0,45.481
445,0.794,40.423,0.0,45.504
446,0.795,40.425,0.0,45.525
447,0.796,40.432,0.0,45.542
448,0.797,40.437,0.0,45.562
449,0.798,40.44,0.0,45.58
450,0.799,40.443,0.0,45.6
451,0.8,40.448,0.0,45.618
452,0.801,40.451,0.0,45.635
453,0.802,40.451,0.0,45.656
454,0.803,40.454,0.0,45.678
455,0.804,40.457,0.0,45.695
456,0.805,40.462,0.0,45.711
457,0.806,40.469,0.0,45.726
458,0.807,40.475,0.0,45.743
459,0.808,40.477,0.0,45.762
460,0.809,40.474,0.0,45.781
461,0.81,40.478,0.0,45.797
462,0.811,40.485,0.0,45.811
463,0.812,40.493,0.0,45.828
464,0.813,40.498,0.0,45.847
465,0.814,40.498,0.0,45.868
466,0.815,40.495,0.0,45.885
467,0.816,40.498,0.0,45.9
468,0.817,40.504,0.0,45.917
469,0.818,40.51,0.0,45.932
470,0.819,40.514,0.0,45.947
471,0.82,40.514,0.0,45.967
472,0.821,40.514,0.0,45.987
473,0.822,40.519,0.0,46.002
474,0.823,40.52,0.0,46.022
475,0.824,40.523,0.0,46.036
476,0.825,40.523,0.0,46.057
477,0.826,40.528,0.0,46.07
478,0.827,40.525,0.0,46.086
479,0.828,40.529,0.0,46.102
480,0.829,40.537,0.0,46.116
481,0.83,40.539,0.0,46.132
482,0.831,40.542,0.0,46.145
483,0.832,40.544,0.0,46.163
484,0.833,40.544,0.0,46.178
485,0.834,40.547,0.0,46.197
486,0.835,40.546,0.0,46.216
487,0.836,40.548,0.0,46.234
488,0.837,40.555,0.0,46.246
489,0.838,40.559,0.0,46.264
490,0.839,40.563,0.0,46.283
491,0.84,40.564,0.0,46.304
492,0.841,40.568,0.0,46.323
493,0.842,40.576,0.0,46.339
494,0.843,40.58,0.0,46.36
495,0.844,40.584,0.0,46.38
496,0.845,40.588,0.0,46.401
497,0.846,40.592,0.0,46.419
498,0.847,40.6,0.0,46.435
499,0.848,40.609,0.0,46.45
500,0.849,40.618,0.0,46.467
501,0.85,40.617,0.0,46.489
502,0.851,40.614,0.0,46.51
503,0.852,40.622,0.0,46.523
504,0.853,40.629,0.0,46.538
505,0.854,40.629,0.0,46.56
506,0.855,40.636,0.0,46.575
507,0.856,40.644,0.0,46.588
508,0.857,40.646,0.0,46.611
509,0.858,40.655,0.0,46.624
510,0.859,40.657,0.0,46.64
511,0.86,40.656,0.0,46.663
512,0.861,40.66,0.0,46.677
513,0.862,40.659,0.0,46.693
514,0.863,40.661,0.0,46.708
515,0.864,40.668,0.0,46.724
516,0.865,40.673,0.0,46.738
517,0.866,40.675,0.0,46.754
518,0.867,40.676,0.0,46.775
519,0.868,40.68,0.0,46.79
520,0.869,40.68,0.0,46.807
521,0.87,40.679,0.0,46.824
522,0.871,40.688,0.0,46.836
523,0.872,40.693,0.0,46.849
524,0.873,40.697,0.0,46.863
525,0.874,40.701,0.0,46.877
526,0.875,40.7,0.0,46.894
527,0.876,40.705,0.0,46.907
528,0.877,40.708,0.0,46.921
529,0.878,40.701,0.0,46.939
530,0.879,40.704,0.0,46.951
531,0.88,40.707,0.0,46.962
532,0.881,40.708,0.0,46.974
533,0.882,40.709,0.0,46.986
534,0.883,40.711,0.0,47.001
535,0.884,40.715,0.0,47.015
536,0.885,40.721,0.0,47.024
537,0.886,40.72,0.0,47.034
538,0.887,40.719,0.0,47.047
539,0.888,40.72,0.0,47.062
540,0.889,40.714,0.0,47.074
541,0.89,40.717,0.0,47.082
542,0.891,40.721,0.0,47.092
543,0.892,40.717,0.0,47.104
544,0.893,40.715,0.0,47.115
545,0.894,40.712,0.0,47.13
546,0.895,40.708,0.0,47.144
547,0.896,40.713,0.0,47.148
548,0.897,40.711,0.0,47.157
549,0.898,40.709,0.0,47.168
550,0.899,40.704,0.0,47.185
551,0.9,40.706,0.0,47.191
552,0.901,40.705,0.0,47.199
553,0.902,40.703,0.0,47.211
554,0.903,40.707,0.0,47.217
555,0.904,40.704,0.0,47.229
556,0.905,40.696,0.0,47.242
557,0.906,40.694,0.0,47.251
558,0.907,40.694,0.0,47.261
559,0.908,40.69,0.0,47.273
560,0.909,40.683,0.0,47.285
561,0.91,40.689,0.0,47.291
562,0.911,40.687,0.0,47.303
563,0.912,40.683,0.0,47.313
564,0.913,40.689,0.0,47.318
565,0.914,40.684,0.0,47.329
566,0.915,40.677,0.0,47.345
567,0.916,40.675,0.0,47.358
568,0.917,40.675,0.0,47.368
569,0.918,40.676,0.0,47.374
570,0.919,40.674,0.0,47.382
571,0.92,40.667,0.0,47.397
572,0.921,40.674,0.0,47.398
573,0.922,40.671,0.0,47.402
574,0.923,40.662,0.0,47.412
575,0.924,40.661,0.0,47.418
576,0.925,40.655,0.0,47.427
577,0.926,40.648,0.0,47.433
578,0.927,40.648,0.0,47.434
579,0.928,40.644,0.0,47.433
580,0.929,40.633,0.0,47.435
581,0.93,40.617,0.0,47.44
582,0.931,40.615,0.0,47.445
583,0.932,40.609,0.0,47.44
584,0.933,40.596,0.0,47.438
585,0.934,40.581,0.0,47.439
586,0.935,40.57,0.0,47.436
587,0.936,40.556,0.0,47.438
588,0.937,40.543,0.0,47.441
589,0.938,40.54,0.0,47.433
590,0.939,40.526,0.0,47.429
591,0.94,40.508,0.0,47.428
592,0.941,40.491,0.0,47.427
593,0.942,40.476,0.0,47.422
594,0.943,40.458,0.0,47.412
595,0.944,40.439,0.0,47.403
596,0.945,40.418,0.0,47.396
597,0.946,40.394,0.0,47.385
598,0.947,40.373,0.0,47.367
599,0.948,40.356,0.0,47.344
600,0.949,40.33,0.0,47.324
601,0.95,40.294,0.0,47.304
602,0.951,40.26,0.0,47.278
603,0.952,40.232,0.0,47.253
604,0.953,40.183,0.0,47.229
605,0.954,40.148,0.0,47.19
606,0.955,40.119,0.0,47.151
607,0.956,40.072,0.0,47.129
608,0.957,40.044,0.0,47.09
609,0.958,40.017,0.0,47.056
610,0.959,39.984,0.0,47.032
611,0.96,39.952,0.0,47.013
612,0.961,39.924,0.0,46.995
613,0.962,39.903,0.0,46.982
614,0.963,39.888,0.0,46.974
615,0.964,39.863,0.0,46.967
616,0.965,39.857,0.0,46.95
617,0.966,39.859,0.0,46.94
618,0.967,39.826,0.0,46.951
619,0.968,39.816,0.0,46.954
620,0.969,39.817,0.0,46.953
621,0.97,39.822,0.0,46.947
622,0.971,39.811,0.0,46.949
623,0.972,39.8,0.0,46.953
624,0.973,39.789,0.0,46.962
