wavelength;reflectance;direct_transmittance;diffuse_transmittance
0.675;4.7715718;0.0;2.6367626
0.676;4.8434896;0.0;2.6301514
0.677;4.9302559;0.0;2.6400782
0.678;5.0184666;0.0;2.657295
0.679;5.1152613;0.0;2.6869492
0.68;5.2241506;0.0;2.7341794
0.681;5.3296858;0.0;2.7968887
0.682;5.4292395;0.0;2.8816347
0.683;5.524778;0.0;2.996638
0.684;5.625169;0.0;3.1515885
0.685;5.7223757;0.0;3.3583513
0.686;5.8103036;0.0;3.6260416
0.687;5.883907;0.0;3.9631016
0.688;5.9542787;0.0;4.3921306
0.689;6.0317012;0.0;4.9342399
0.69;6.1253494;0.0;5.6060708
0.691;6.2360243;0.0;6.4066819
0.692;6.3805659;0.0;7.3455313
0.693;6.5767401;0.0;8.4243836
0.694;6.8447208;0.0;9.6333291
0.695;7.1781698;0.0;10.9479193
0.696;7.5793429;0.0;12.3486954
0.697;8.0561147;0.0;13.8173089
0.698;8.6092602;0.0;15.3327263
0.699;9.2317365;0.0;16.8736232
0.7;9.9116657;0.0;18.4177794
0.701;10.6338323;0.0;19.942997
0.702;11.3997618;0.0;21.4460373
0.703;12.2037746;0.0;22.9192162
0.704;13.0119774;0.0;24.3314447
0.705;13.8281951;0.0;25.6915559
0.706;14.652049;0.0;27.0033017
0.707;15.4773573;0.0;28.263548
0.708;16.3046842;0.0;29.4750504
0.709;17.1340734;0.0;30.6437943
0.71;17.9657693;0.0;31.7783949
0.711;18.7931946;0.0;32.8823984
0.712;19.6209524;0.0;33.9530771
0.713;20.4533918;0.0;34.9892813
0.714;21.2826826;0.0;36.001602
0.715;22.1105744;0.0;36.9913372
0.716;22.9379205;0.0;37.9588557
0.717;23.7653906;0.0;38.9065273
0.718;24.586092;0.0;39.8258435
0.719;25.3947936;0.0;40.7149442
0.72;26.1887488;0.0;41.5780782
0.721;26.9793712;0.0;42.4199686
0.722;27.7544899;0.0;43.2339066
0.723;28.5012757;0.0;44.0139041
0.724;29.2363082;0.0;44.77005
0.725;29.9530864;0.0;45.4982775
0.726;30.6455748;0.0;46.1953406
0.727;31.3101138;0.0;46.8599549
0.728;31.9528305;0.0;47.4932504
0.729;32.5735962;0.0;48.0974694
0.73;33.1649991;0.0;48.6748926
0.731;33.7332715;0.0;49.2202925
0.732;34.2746717;0.0;49.7350312
0.733;34.7831989;0.0;50.2221203
0.734;35.2701599;0.0;50.6817426
0.735;35.729933;0.0;51.1123666
0.736;36.156854;0.0;51.5130259
0.737;36.5525784;0.0;51.8856783
0.738;36.921293;0.0;52.234649
0.739;37.2641521;0.0;52.5610281
0.74;37.5782058;0.0;52.8615929
0.741;37.8660688;0.0;53.1384077
0.742;38.1263455;0.0;53.3906143
0.743;38.3565574;0.0;53.61663
0.744;38.5636545;0.0;53.821088
0.745;38.7443385;0.0;54.0050086
0.746;38.8953551;0.0;54.1684636
0.747;39.0197787;0.0;54.3109079
0.748;39.1236944;0.0;54.4349262
0.749;39.2112805;0.0;54.5432949
0.75;39.2848765;0.0;54.639671
0.751;39.341615;0.0;54.7238557
0.752;39.3813375;0.0;54.7943116
0.753;39.4057498;0.0;54.8492386
0.754;39.4227251;0.0;54.898699
0.755;39.4329893;0.0;54.9406414
0.756;39.4363628;0.0;54.9727756
0.757;39.4368678;0.0;55.0033344
0.758;39.4299468;0.0;55.0296667
0.759;39.4158143;0.0;55.050874
0.76;39.4042288;0.0;55.0700788
0.761;39.3874777;0.0;55.0857476
0.762;39.3643834;0.0;55.0960094
0.763;39.3368789;0.0;55.0988072
0.764;39.3024066;0.0;55.098452
