wavelength;reflectance;direct_transmittance;diffuse_transmittance
0.943;38.7602062;0.0;47.5595968
0.944;38.762207;0.0;47.5529508
0.945;38.7430526;0.0;47.5295088
0.946;38.6995546;0.0;47.4936282
0.947;38.6627682;0.0;47.4675796
0.948;38.6728034;0.0;47.4749558
0.949;38.6583331;0.0;47.4593595
0.95;38.5816465;0.0;47.3955917
0.951;38.5623684;0.0;47.3942645
0.952;38.5418607;0.0;47.3681858
0.953;38.5080807;0.0;47.3197581
0.954;38.4779201;0.0;47.3059881
0.955;38.4644237;0.0;47.3078337
0.956;38.4341304;0.0;47.2862056
0.957;38.3758827;0.0;47.2350327
0.958;38.3542724;0.0;47.2427865
0.959;38.3094171;0.0;47.2191809
0.96;38.2602482;0.0;47.1707881
0.961;38.25888;0.0;47.14996
0.962;38.2574659;0.0;47.1268737
0.963;38.2306822;0.0;47.1041395
0.964;38.1872463;0.0;47.0940747
0.965;38.2009413;0.0;47.1263849
0.966;38.1912822;0.0;47.1249663
0.967;38.1573253;0.0;47.0997526
0.968;38.1312737;0.0;47.0925942
0.969;38.1298874;0.0;47.0862614
0.97;38.1314457;0.0;47.0828378
0.971;38.1223085;0.0;47.0741334
0.972;38.1058149;0.0;47.0333332
0.973;38.0941243;0.0;47.0536098
0.974;38.0979731;0.0;47.0940598
0.975;38.1145243;0.0;47.0903126
0.976;38.0859019;0.0;47.0968814
0.977;38.0424162;0.0;47.0804742
0.978;38.0198401;0.0;47.047837
0.979;38.0516277;0.0;47.0487991
0.98;38.0353319;0.0;47.0437563
0.981;38.0190979;0.0;47.0462092
0.982;38.0407214;0.0;47.0599863
0.983;37.978766;0.0;47.0145224
0.984;37.9473155;0.0;46.9960913
0.985;37.9699333;0.0;47.0149096
0.986;38.0059055;0.0;47.032134
0.987;38.0456177;0.0;47.0975056
0.988;38.0557326;0.0;47.1213473
0.989;38.0316202;0.0;47.0661012
0.99;38.0335227;0.0;47.0406527
0.991;38.029948;0.0;47.0579985
0.992;38.0053237;0.0;47.0791538
0.993;37.9670291;0.0;47.0576597
0.994;38.0374539;0.0;47.0906326
0.995;38.0301672;0.0;47.072589
0.996;37.9340901;0.0;47.0144859
0.997;37.981221;0.0;47.0866933
0.998;37.9999319;0.0;47.1376156
0.999;37.9607184;0.0;47.1321539
1;37.8980729;0.0;47.0924639
1.001;37.8860425;0.0;47.0744645
1.002;37.924347;0.0;47.0781271
1.003;37.9473778;0.0;47.0848014
1.004;37.990081;0.0;47.0924059
1.005;38.0064207;0.0;47.129674
1.006;38.0059846;0.0;47.1896119
1.007;38.0174618;0.0;47.2381626
1.008;38.0117876;0.0;47.3149231
1.009;38.0215497;0.0;47.3636064
1.01;38.0641941;0.0;47.3552634
1.011;38.1107926;0.0;47.3948687
1.012;38.1268005;0.0;47.3907131
1.013;38.1654751;0.0;47.3922851
1.014;38.1878934;0.0;47.3949159
1.015;38.1697352;0.0;47.3623051
1.016;38.168608;0.0;47.3609587
1.017;38.1918373;0.0;47.3892109
1.018;38.1880426;0.0;47.4010691
1.019;38.1554551;0.0;47.4254753
1.02;38.1741513;0.0;47.5302051
1.021;38.1670505;0.0;47.5715024
1.022;38.1747647;0.0;47.5915304
1.023;38.1849259;0.0;47.579921
1.024;38.2018691;0.0;47.530833
1.025;38.2573786;0.0;47.4841703
1.026;38.2520057;0.0;47.4595013
1.027;38.2534427;0.0;47.4867449
1.028;38.2367024;0.0;47.5717148
1.029;38.2606966;0.0;47.6159449
1.03;38.314137;0.0;47.7216089
1.031;38.332117;0.0;47.7466923
1.032;38.3567193;0.0;47.6971508
1.033;38.3778356;0.0;47.6885082
1.034;38.352909;0.0;47.6754284
1.035;38.3144467;0.0;47.6439705
1.036;38.3441924;0.0;47.692826
1.037;38.3629018;0.0;47.7130199
1.038;38.3855432;0.0;47.7223608
1.039;38.4331228;0.0;47.7750865
1.04;38.4219913;0.0;47.8020432
1.041;38.4062613;0.0;47.8252166
1.042;38.3939836;0.0;47.8288654
1.043;38.3313848;0.0;47.8134291
1.044;38.3351828;0.0;47.8012357
1.045;38.410091;0.0;47.749783
1.046;38.4194314;0.0;47.7464319
1.047;38.4120917;0.0;47.7649747
1.048;38.4342708;0.0;47.7984259
1.049;38.4204787;0.0;47.85183
1.05;38.3916192;0.0;47.9086043
1.051;38.4558787;0.0;47.9227014
1.052;38.5033115;0.0;47.9346878
1.053;38.493302;0.0;47.9119716
1.054;38.5251877;0.0;47.8881351
1.055;38.513178;0.0;47.9064992
1.056;38.4718687;0.0;47.8873936
1.057;38.470522;0.0;47.8919489
1.058;38.5125844;0.0;47.9259684
1.059;38.505912;0.0;47.9449938
1.06;38.4720445;0.0;47.9468748
1.061;38.4697393;0.0;47.9751286
1.062;38.4570482;0.0;48.0366721
1.063;38.4653046;0.0;48.0551061
1.064;38.4798856;0.0;48.0351577
1.065;38.520085;0.0;48.0304037
1.066;38.5486914;0.0;48.0363436
1.067;38.5179855;0.0;48.01351
1.068;38.5167273;0.0;48.0179747
1.069;38.5362709;0.0;48.0602515
1.07;38.5276297;0.0;48.0609811
1.071;38.510839;0.0;48.0156063
1.072;38.4939505;0.0;48.0134572
1.073;38.4304716;0.0;48.0180101
1.074;38.436844;0.0;48.0331839
1.075;38.4951178;0.0;48.0933022
1.076;38.5096959;0.0;48.1019405
1.077;38.5597102;0.0;48.078815
1.078;38.5744041;0.0;48.0704759
1.079;38.5411183;0.0;48.0338322
1.08;38.5086455;0.0;48.0149231
1.081;38.5087636;0.0;48.0452974
1.082;38.5068681;0.0;48.0998872
1.083;38.496423;0.0;48.1161042
1.084;38.4830187;0.0;48.1151359
1.085;38.4655667;0.0;48.1087229
1.086;38.4176357;0.0;48.0527577
1.087;38.418985;0.0;48.0525386
1.088;38.4615883;0.0;48.088984
1.089;38.4665059;0.0;48.1038499
1.09;38.4746286;0.0;48.1418871
1.091;38.4858916;0.0;48.1492933
1.092;38.4632117;0.0;48.101695
1.093;38.4562177;0.0;48.1006022
1.094;38.4594155;0.0;48.1156102
1.095;38.5065847;0.0;48.1466948
1.096;38.4880926;0.0;48.1365764
1.097;38.4763643;0.0;48.1385342
1.098;38.4872322;0.0;48.1412101
1.099;38.4486817;0.0;48.1077874
1.1;38.4128783;0.0;48.0845788
1.101;38.420761;0.0;48.109094
