"differences","num_of_species","illumination","fapar_diffs","trait","background"
-16.2201123944577,"4","direct sun, 30? zenith angle",4.64074153373861,"LAI","white"
-6.51999918208359,"5","direct sun, 30? zenith angle",1.00588252821037,"LAI","white"
-10.301634406128,"5","direct sun, 30? zenith angle",3.48849204857617,"LAI","white"
-12.1607336030356,"5","direct sun, 30? zenith angle",3.72168640066252,"LAI","white"
-13.691222358017,"5","direct sun, 30? zenith angle",3.95784654061405,"LAI","white"
-14.5652553062097,"5","direct sun, 30? zenith angle",4.07839830030582,"LAI","white"
-13.494306411985,"5","direct sun, 30? zenith angle",3.68964285689758,"LAI","white"
-12.6193796848697,"6","direct sun, 30? zenith angle",3.46567716891097,"LAI","white"
-1.26813592565894,"2","overcasted",0.400878133571309,"LAI","white"
-4.41916013172161,"2","overcasted",0.967713752584836,"LAI","white"
-7.85631531870819,"2","overcasted",1.3723215623107,"LAI","white"
-10.5239546171069,"2","overcasted",1.61000230549271,"LAI","white"
-2.6041220729879,"2","overcasted",1.71291543100692,"LAI","white"
-0.888023030100388,"2","overcasted",0.112972736488257,"LAI","white"
-2.68115787108737,"2","overcasted",0.292309838341682,"LAI","white"
-4.32336238289465,"2","overcasted",0.397119770682842,"LAI","white"
-7.51924062552079,"2","overcasted",3.93884959649956,"LAI","white"
-0.559670029190263,"2","overcasted",0.0366313691258142,"LAI","white"
-1.55814576509529,"2","overcasted",0.0964613791114382,"LAI","white"
-12.5234214516215,"2","overcasted",5.35531391567758,"LAI","white"
-0.172744584223212,"2","overcasted",0.0106530633855107,"LAI","white"
-17.3481133986431,"2","overcasted",6.38727902685682,"LAI","white"
-21.5706896673601,"2","overcasted",7.16611500603498,"LAI","white"
-3.02335063636415,"3","overcasted",0.652571166293138,"LAI","white"
-5.43577836933194,"3","overcasted",0.918305558175404,"LAI","white"
-7.69890614736553,"3","overcasted",1.13725415492469,"LAI","white"
-5.12160003459289,"3","overcasted",2.48042662760754,"LAI","white"
-5.74305108168551,"3","overcasted",1.00707713094786,"LAI","white"
-7.64291332373417,"3","overcasted",1.14098444793851,"LAI","white"
-8.64932303579869,"3","overcasted",3.51878035520206,"LAI","white"
-8.66217904467579,"3","overcasted",1.26635662202298,"LAI","white"
-12.0890162477669,"3","overcasted",4.1423611543646,"LAI","white"
-15.4567831582899,"3","overcasted",4.69597525408071,"LAI","white"
-1.79295538507198,"3","overcasted",0.202635504776481,"LAI","white"
-3.14922957764949,"3","overcasted",0.293688071589543,"LAI","white"
-9.88876009827059,"3","overcasted",3.86457983462813,"LAI","white"
-3.454902262039,"3","overcasted",0.314453589280124,"LAI","white"
-12.8901550004172,"3","overcasted",4.40077615763871,"LAI","white"
-15.5824484956743,"3","overcasted",4.69510812977123,"LAI","white"
-1.03002022728504,"3","overcasted",0.0633648814646039,"LAI","white"
-14.5007201295846,"3","overcasted",4.68417836496931,"LAI","white"
-16.8240575513837,"3","overcasted",4.94993533669451,"LAI","white"
-17.8589244026253,"3","overcasted",5.02943414135492,"LAI","white"
-4.46454148651348,"4","overcasted",0.747532358457481,"LAI","white"
-6.04039467184532,"4","overcasted",0.887124693381881,"LAI","white"
-7.80832489816227,"4","overcasted",2.93392877329064,"LAI","white"
-7.01274897233512,"4","overcasted",1.00311019075269,"LAI","white"
-10.02798878352,"4","overcasted",3.23382323934274,"LAI","white"
-12.2952281660956,"4","overcasted",3.57694162116393,"LAI","white"
-6.44082476677647,"4","overcasted",0.923432950566947,"LAI","white"
-11.901007119583,"4","overcasted",3.74264831233955,"LAI","white"
-13.5456906743114,"4","overcasted",3.83427729456314,"LAI","white"
-15.7801591701901,"4","overcasted",4.31950396479443,"LAI","white"
-2.62942276134756,"4","overcasted",0.237155463006538,"LAI","white"
-11.0903342103514,"4","overcasted",3.40030879395695,"LAI","white"
-13.0177181639689,"4","overcasted",3.62185607909036,"LAI","white"
-13.7690160729451,"4","overcasted",3.60803771877518,"LAI","white"
-14.6333154911257,"4","overcasted",3.91775173428014,"LAI","white"
-5.6810193969804,"5","overcasted",0.797800852841351,"LAI","white"
-9.69217912552547,"5","overcasted",2.97245158264886,"LAI","white"
-11.5152795238808,"5","overcasted",3.15301766081078,"LAI","white"
-12.6331527382503,"5","overcasted",3.32527195528717,"LAI","white"
-13.3586552051529,"5","overcasted",3.4350231761292,"LAI","white"
-12.1956399111483,"5","overcasted",3.11064798670283,"LAI","white"
-11.5084256170245,"6","overcasted",2.9016755818158,"LAI","white"
-0.077388346787915,"2","direct sun, 0? zenith angle",0.0268717559763096,"LAD","white"
-3.58694979306549,"2","direct sun, 0? zenith angle",1.27907369147053,"LAD","white"
-1.14698484996184,"2","direct sun, 0? zenith angle",0.207979551903732,"LAD","white"
-0.147844775421895,"2","direct sun, 0? zenith angle",0.0347899888716033,"LAD","white"
-0.0315886719069425,"2","direct sun, 0? zenith angle",0.015861649842386,"LAD","white"
-3.73010081985468,"2","direct sun, 0? zenith angle",1.50918030207876,"LAD","white"
-0.538915607972235,"2","direct sun, 0? zenith angle",0.106069182883417,"LAD","white"
-0.0668389275935513,"2","direct sun, 0? zenith angle",-0.0068255756956891,"LAD","white"
-0.0134890870959311,"2","direct sun, 0? zenith angle",-0.000430887927945946,"LAD","white"
-8.25123153459081,"2","direct sun, 0? zenith angle",2.65552023555913,"LAD","white"
-4.14238456477981,"2","direct sun, 0? zenith angle",1.60753264527009,"LAD","white"
-4.32202110761281,"2","direct sun, 0? zenith angle",1.69869429629906,"LAD","white"
-0.557468209713025,"2","direct sun, 0? zenith angle",0.0924030053502177,"LAD","white"
-0.745053813762109,"2","direct sun, 0? zenith angle",0.14711652334053,"LAD","white"
0.00222714403876995,"2","direct sun, 0? zenith angle",0.00600942562828346,"LAD","white"
-4.3968814954894,"3","direct sun, 0? zenith angle",1.29753531133831,"LAD","white"
-0.788118749997856,"3","direct sun, 0? zenith angle",0.148181303079766,"LAD","white"
-0.0175758675942932,"3","direct sun, 0? zenith angle",0.0124508875723993,"LAD","white"
-0.00193697944654363,"3","direct sun, 0? zenith angle",-0.0159624277804359,"LAD","white"
-6.67852622854591,"3","direct sun, 0? zenith angle",1.78117164727142,"LAD","white"
-4.28848196329858,"3","direct sun, 0? zenith angle",1.28579172887424,"LAD","white"
-4.21399370021,"3","direct sun, 0? zenith angle",1.28734895500409,"LAD","white"
-0.87898073371066,"3","direct sun, 0? zenith angle",0.155693305918448,"LAD","white"
-0.592922840681044,"3","direct sun, 0? zenith angle",0.140595928011827,"LAD","white"
-0.104711653571725,"3","direct sun, 0? zenith angle",0.043069395276303,"LAD","white"
-7.57909938370553,"3","direct sun, 0? zenith angle",2.05111134409528,"LAD","white"
-5.54533298537574,"3","direct sun, 0? zenith angle",1.60290813201668,"LAD","white"
-5.61264271045003,"3","direct sun, 0? zenith angle",1.58350162951199,"LAD","white"
-0.698403222714687,"3","direct sun, 0? zenith angle",0.11379456160117,"LAD","white"
-0.548228471401306,"3","direct sun, 0? zenith angle",0.11198128770512,"LAD","white"
0.0844946819768737,"3","direct sun, 0? zenith angle",-0.0125006449653773,"LAD","white"
-7.46109336411545,"3","direct sun, 0? zenith angle",2.00808680123703,"LAD","white"
-7.32307434218941,"3","direct sun, 0? zenith angle",2.02051541885249,"LAD","white"
-5.1650325447116,"3","direct sun, 0? zenith angle",1.36490022553633,"LAD","white"
-0.373275042580582,"3","direct sun, 0? zenith angle",0.0547323650524447,"LAD","white"
-5.75648540121433,"4","direct sun, 0? zenith angle",1.39130193876677,"LAD","white"
-4.34248603072335,"4","direct sun, 0? zenith angle",1.13640720300183,"LAD","white"
-4.27400473480181,"4","direct sun, 0? zenith angle",1.10408406934257,"LAD","white"
-0.607198816360099,"4","direct sun, 0? zenith angle",0.105251008148329,"LAD","white"
-0.547557193662391,"4","direct sun, 0? zenith angle",0.105976531718488,"LAD","white"
-0.105139828266949,"4","direct sun, 0? zenith angle",0.0186788262484955,"LAD","white"
-5.9037980390206,"4","direct sun, 0? zenith angle",1.48643960847286,"LAD","white"
-5.40326765515015,"4","direct sun, 0? zenith angle",1.33944904718208,"LAD","white"
-4.21670518172187,"4","direct sun, 0? zenith angle",1.07490439578216,"LAD","white"
-0.637832342944456,"4","direct sun, 0? zenith angle",0.0930753755758557,"LAD","white"
-5.81112047597478,"4","direct sun, 0? zenith angle",1.41671156510845,"LAD","white"
-5.86214594632296,"4","direct sun, 0? zenith angle",1.44192748372481,"LAD","white"
-4.91171790928859,"4","direct sun, 0? zenith angle",1.18338065287841,"LAD","white"
-0.348660919918677,"4","direct sun, 0? zenith angle",0.0788832597449453,"LAD","white"
-6.23029954030247,"4","direct sun, 0? zenith angle",1.56172057683762,"LAD","white"
-4.90578836956977,"5","direct sun, 0? zenith angle",1.13700306684551,"LAD","white"
-5.17799803913723,"5","direct sun, 0? zenith angle",1.27759608841811,"LAD","white"
-3.92840162958559,"5","direct sun, 0? zenith angle",1.04220883031933,"LAD","white"
-0.344389177769549,"5","direct sun, 0? zenith angle",0.0675962979067792,"LAD","white"
-4.89395356850347,"5","direct sun, 0? zenith angle",1.20097573275284,"LAD","white"
-4.82243903407484,"5","direct sun, 0? zenith angle",1.11814370716164,"LAD","white"
-4.07519100553869,"6","direct sun, 0? zenith angle",0.946356070909163,"LAD","white"
-0.271641949480158,"2","direct sun, 30? zenith angle",0.0354302376537172,"LAD","white"
-1.69264506789743,"2","direct sun, 30? zenith angle",0.322354959406642,"LAD","white"
-1.12823620421269,"2","direct sun, 30? zenith angle",0.189064362936312,"LAD","white"
-0.146658522011268,"2","direct sun, 30? zenith angle",0.027097997605017,"LAD","white"
-0.0769380065203635,"2","direct sun, 30? zenith angle",0.0250654969197377,"LAD","white"
-2.42915479846476,"2","direct sun, 30? zenith angle",0.445243478113701,"LAD","white"
-0.62479170192853,"2","direct sun, 30? zenith angle",0.0863693331871936,"LAD","white"
-0.21530776489302,"2","direct sun, 30? zenith angle",0.00779972030996485,"LAD","white"
-0.104249453077496,"2","direct sun, 30? zenith angle",-0.00177402748191119,"LAD","white"
-4.52983101569925,"2","direct sun, 30? zenith angle",0.932106957248056,"LAD","white"
-2.55927124263327,"2","direct sun, 30? zenith angle",0.506966313763054,"LAD","white"
-2.57441660576414,"2","direct sun, 30? zenith angle",0.508305073447666,"LAD","white"
-0.510297922361205,"2","direct sun, 30? zenith angle",0.0721506660653668,"LAD","white"
-0.526110776109352,"2","direct sun, 30? zenith angle",0.0855326378961675,"LAD","white"
-0.042427271802894,"2","direct sun, 30? zenith angle",-0.00245272639224125,"LAD","white"
-1.81015277440774,"3","direct sun, 30? zenith angle",0.381191303610857,"LAD","white"
-0.862089998596429,"3","direct sun, 30? zenith angle",0.151505064397607,"LAD","white"
-0.094082350765187,"3","direct sun, 30? zenith angle",0.0274299636708272,"LAD","white"
-0.104853268924518,"3","direct sun, 30? zenith angle",0.0290711600741973,"LAD","white"
-3.19473164165541,"3","direct sun, 30? zenith angle",0.617331759641224,"LAD","white"
-1.77028312494794,"3","direct sun, 30? zenith angle",0.376210158776812,"LAD","white"
-1.9527789694443,"3","direct sun, 30? zenith angle",0.389307543825539,"LAD","white"
-0.751180458298818,"3","direct sun, 30? zenith angle",0.143973858587844,"LAD","white"
-0.6918283358801,"3","direct sun, 30? zenith angle",0.124712429035271,"LAD","white"
-0.174203153697939,"3","direct sun, 30? zenith angle",0.0330432662986816,"LAD","white"
-3.41221249280648,"3","direct sun, 30? zenith angle",0.710331890429293,"LAD","white"
-2.22231620421813,"3","direct sun, 30? zenith angle",0.45890413757426,"LAD","white"
-2.36937993605861,"3","direct sun, 30? zenith angle",0.467608441665951,"LAD","white"
-0.333317645752511,"3","direct sun, 30? zenith angle",0.0561144206231545,"LAD","white"
